x,y
2.353096546,0.925200582
2.357005353,0.930511246
2.360910538,0.935824579
2.364930269,0.941301707
2.368828255,0.946620558
2.372722727,0.951941987
2.376731533,0.957427363
2.38061902,0.962754124
2.384503097,0.968083377
2.388501304,0.973576723
2.392378604,0.978911129
2.396252597,0.984247942
2.40024052,0.98974899
2.404107938,0.995090784
2.407972147,1.000434904
2.411950093,1.005943395
2.415807923,1.011292328
2.41966264,1.01664351
2.423630908,1.022159196
2.427479296,1.027514932
2.431324565,1.032872908
2.435283094,1.038395589
2.439122026,1.043758108
2.442957835,1.049122862
2.446906613,1.054652519
2.450736077,1.060021805
2.454562413,1.065393319
2.458501427,1.070929936
2.46232141,1.07630597
2.466138262,1.081684228
2.470067499,1.087227787
2.47387799,1.092610553
2.477685345,1.097995538
2.481604794,1.103546022
2.48540578,1.108935504
2.489203627,1.114327199
2.493113276,1.119884591
2.496904746,1.125280772
2.500693073,1.130679161
2.50459291,1.136243444
2.508374852,1.141646308
2.512153648,1.147051374
2.516043661,1.152622531
2.519816065,1.158032062
2.523585318,1.163443789
2.527465495,1.169021803
2.531228349,1.174437983
2.534988048,1.179856354
2.538858377,1.185441207
2.542611669,1.19086402
2.546361802,1.196289018
2.550222272,1.201880693
2.553965989,1.207310121
2.557706545,1.212741728
2.561557142,1.218340206
2.565291274,1.223776232
2.56902224,1.229214431
2.572862953,1.234819696
2.576587488,1.240262302
2.580308852,1.245707076
2.584139669,1.251319108
2.587854594,1.256768278
2.591566345,1.262219609
2.595387253,1.267838392
2.599092557,1.273294108
2.602794684,1.278751981
2.606605672,1.284377497
2.610301344,1.289839743
2.613993834,1.29530414
2.61779489,1.300936372
2.621480918,1.306405131
2.625163762,1.311876035
2.628954875,1.317514967
2.632631248,1.322990222
2.636304434,1.328467617
2.640085592,1.33411323
2.6437523,1.339594965
2.647415816,1.345078834
2.651187007,1.350731112
2.654844038,1.356219309
2.658497874,1.361709635
2.662259087,1.367368559
2.66590643,1.372863202
2.669550573,1.378359967
2.673301797,1.384025519
2.67693944,1.389526589
2.680573879,1.395029776
2.684315101,1.400701938
2.687943032,1.406209418
2.691567756,1.411719009
2.695298965,1.417397763
2.698917173,1.422911635
2.70253217,1.428427613
2.706253353,1.434112941
2.709861827,1.439633188
2.713467087,1.445155536
2.717178233,1.450847421
2.720776961,1.456374026
2.724372471,1.461902726
2.728073569,1.467601151
2.731662541,1.473134097
2.735248291,1.478669133
2.738939329,1.48437408
2.742518534,1.48991335
2.746094514,1.495454705
2.749775481,1.501166156
2.753344908,1.506711734
2.756911106,1.512259391
2.760581991,1.517977329
2.764141629,1.523529198
2.767698035,1.529083138
2.771358827,1.534807546
2.774908665,1.540365687
2.778455267,1.545925895
2.782105955,1.551656753
2.785645982,1.55722115
2.789182769,1.562787607
2.792823341,1.568524898
2.796353546,1.574095532
2.799880507,1.57966822
2.803510951,1.585411925
2.807031322,1.590988779
2.810548446,1.596567681
2.814168751,1.602317782
2.817679278,1.607900837
2.821186553,1.613485936
2.824796708,1.619242415
2.828297379,1.624831655
2.831794795,1.630422933
2.835394789,1.636185772
2.838885593,1.64178118
2.84237314,1.647378619
2.845962961,1.653147801
2.849443889,1.658749359
2.852921555,1.664352944
2.856501192,1.670128451
2.859972233,1.675736143
2.863440008,1.681345855
2.867009452,1.687127669
2.870470594,1.692741477
2.873928468,1.6983573
2.877487707,1.704145404
2.880938941,1.709765311
2.884386903,1.715387226
2.887935926,1.721181602
2.891377241,1.726807589
2.89481528,1.73243558
2.898354076,1.738236208
2.901785461,1.743868259
2.905213567,1.749502306
2.908742123,1.755309168
2.912163567,1.760947264
2.915581729,1.76658735
2.919100036,1.772400428
2.922511528,1.778044551
2.925919734,1.783690658
2.929427781,1.789509934
2.932829311,1.795160066
2.936227551,1.800812177
2.939725326,1.806637632
2.943116883,1.812293756
2.946505147,1.817951853
2.949992639,1.82378347
2.953374213,1.829445569
2.95675249,1.835109635
2.96022969,1.840947396
2.96360127,1.846615451
2.966969551,1.852285469
2.970436447,1.858129356
2.973798024,1.863803352
2.977156297,1.869479304
2.98061288,1.875329299
2.983964443,1.881009218
2.987312699,1.886691087
2.990758957,1.892547172
2.994100496,1.898232995
2.997438724,1.903920762
3.000874648,1.909782918
3.004206152,1.915474628
3.007534342,1.921168277
3.010959919,1.927036485
3.014281378,1.932734063
3.01759952,1.938433574
3.02101474,1.944307816
3.024326143,1.950011244
3.027634226,1.955716599
3.031039079,1.961596857
3.034340416,1.967306117
